"DATE","TIME PERIOD","Pre-Euro Short-Term Rate - Volume-weighted trimmed mean rate (MMSR.B.U2._X._Z.S12._Z.U.BO.WT.D76.MA._Z._Z.EUR._Z)"
"2017-03-15","15 Mar 2017","-0.444"
"2017-03-16","16 Mar 2017","-0.443"
"2017-03-17","17 Mar 2017","-0.444"
"2017-03-20","20 Mar 2017","-0.445"
"2017-03-21","21 Mar 2017","-0.444"
"2017-03-22","22 Mar 2017","-0.444"
"2017-03-23","23 Mar 2017","-0.442"
"2017-03-24","24 Mar 2017","-0.440"
"2017-03-27","27 Mar 2017","-0.438"
"2017-03-28","28 Mar 2017","-0.442"
"2017-03-29","29 Mar 2017","-0.446"
"2017-03-30","30 Mar 2017","-0.447"
"2017-03-31","31 Mar 2017","-0.448"
"2017-04-03","03 Apr 2017","-0.447"
"2017-04-04","04 Apr 2017","-0.447"
"2017-04-05","05 Apr 2017","-0.447"
"2017-04-06","06 Apr 2017","-0.446"
"2017-04-07","07 Apr 2017","-0.447"
"2017-04-10","10 Apr 2017","-0.448"
"2017-04-11","11 Apr 2017","-0.447"
"2017-04-12","12 Apr 2017","-0.448"
"2017-04-13","13 Apr 2017","-0.448"
"2017-04-18","18 Apr 2017","-0.447"
"2017-04-19","19 Apr 2017","-0.446"
"2017-04-20","20 Apr 2017","-0.449"
"2017-04-21","21 Apr 2017","-0.448"
"2017-04-24","24 Apr 2017","-0.446"
"2017-04-25","25 Apr 2017","-0.447"
"2017-04-26","26 Apr 2017","-0.446"
"2017-04-27","27 Apr 2017","-0.447"
"2017-04-28","28 Apr 2017","-0.449"
"2017-05-02","02 May 2017","-0.443"
"2017-05-03","03 May 2017","-0.445"
"2017-05-04","04 May 2017","-0.445"
"2017-05-05","05 May 2017","-0.447"
"2017-05-08","08 May 2017","-0.445"
"2017-05-09","09 May 2017","-0.445"
"2017-05-10","10 May 2017","-0.445"
"2017-05-11","11 May 2017","-0.445"
"2017-05-12","12 May 2017","-0.446"
"2017-05-15","15 May 2017","-0.446"
"2017-05-16","16 May 2017","-0.426"
"2017-05-17","17 May 2017","-0.447"
"2017-05-18","18 May 2017","-0.447"
"2017-05-19","19 May 2017","-0.447"
"2017-05-22","22 May 2017","-0.447"
"2017-05-23","23 May 2017","-0.447"
"2017-05-24","24 May 2017","-0.450"
"2017-05-25","25 May 2017","-0.449"
"2017-05-26","26 May 2017","-0.443"
"2017-05-29","29 May 2017","-0.444"
"2017-05-30","30 May 2017","-0.446"
"2017-05-31","31 May 2017","-0.450"
"2017-06-01","01 Jun 2017","-0.447"
"2017-06-02","02 Jun 2017","-0.446"
"2017-06-05","05 Jun 2017","-0.448"
"2017-06-06","06 Jun 2017","-0.447"
"2017-06-07","07 Jun 2017","-0.439"
"2017-06-08","08 Jun 2017","-0.444"
"2017-06-09","09 Jun 2017","-0.445"
"2017-06-12","12 Jun 2017","-0.445"
"2017-06-13","13 Jun 2017","-0.443"
"2017-06-14","14 Jun 2017","-0.446"
