
"Banco de México"

"Securities prices and interest rates"
"Índices de TIIE de Fondeo y TIIEs de Fondeo compuestas por adelantado"

"Date: 04/26/2026 02:30:41"

""

"Title","Overnight Funding TIIE Index, Compounded on calendar days","Overnight Funding TIIE Index, Compounded on business days","Compounded in advance Overnight Funding TIIE, for 28 days","Compounded in advance Overnight Funding TIIE, for 91 days","Compounded in advance Overnight Funding TIIE, for 182 days"
"Available period","01/02/2006 - 04/27/2026","01/02/2006 - 04/27/2026","01/02/2006 - 04/27/2026","01/02/2006 - 04/27/2026","01/02/2006 - 04/27/2026"
"Frequency","Daily","Daily","Daily","Daily","Daily"
"Data type","ciphers without type","ciphers without type","Average Rate","Average Rate","Average Rate"
"Unit","Without units","Without units","Percentages","Percentages","Percentages"
"Base","","","","",""
"Announcement","","","","",""
"Information type","Levels","Levels","Levels","Levels","Levels"
"Date","SF355630","SF355631","SF355632","SF355633","SF355634"
01/02/2006,100000.0000,100000.0000,0.0000,0.0000,0.0000
01/03/2006,100022.9722,100022.9722,N/E,N/E,N/E
01/04/2006,100045.9775,100045.9775,N/E,N/E,N/E
01/05/2006,100068.9881,100068.9881,N/E,N/E,N/E
01/06/2006,100092.0039,100092.0039,N/E,N/E,N/E
01/07/2006,100115.0251,100115.0251,N/E,N/E,N/E
01/08/2006,100138.0516,100138.0462,N/E,N/E,N/E
01/09/2006,100161.0833,100161.0674,N/E,N/E,N/E
01/10/2006,100184.1204,100184.1045,N/E,N/E,N/E
01/11/2006,100207.1627,100207.1468,N/E,N/E,N/E
01/12/2006,100230.2104,100230.1945,N/E,N/E,N/E
01/13/2006,100253.2633,100253.2474,N/E,N/E,N/E
01/14/2006,100276.3216,100276.3056,N/E,N/E,N/E
01/15/2006,100299.3851,100299.3639,N/E,N/E,N/E
01/16/2006,100322.4540,100322.4221,N/E,N/E,N/E
01/17/2006,100345.5281,100345.4963,N/E,N/E,N/E
01/18/2006,100368.5797,100368.5479,N/E,N/E,N/E
01/19/2006,100391.6366,100391.6048,N/E,N/E,N/E
01/20/2006,100414.6988,100414.6670,N/E,N/E,N/E
01/21/2006,100437.7663,100437.7345,N/E,N/E,N/E
01/22/2006,100460.8391,100460.8020,N/E,N/E,N/E
01/23/2006,100483.9172,100483.8694,N/E,N/E,N/E
01/24/2006,100507.0006,100506.9528,N/E,N/E,N/E
01/25/2006,100530.0893,100530.0415,N/E,N/E,N/E
01/26/2006,100553.2112,100553.1634,N/E,N/E,N/E
01/27/2006,100576.3384,100576.2906,N/E,N/E,N/E
01/28/2006,100598.0741,100598.0263,N/E,N/E,N/E
01/29/2006,100619.8144,100619.7619,N/E,N/E,N/E
01/30/2006,100641.5595,100641.4976,N/E,N/E,N/E
01/31/2006,100663.3093,100663.2473,8.2302,8.2896,8.3765
02/01/2006,100685.1196,100685.0577,8.2130,8.2721,8.3586
02/02/2006,100706.8788,100706.8168,8.1950,8.2539,8.3400
