
"Banco de México"

"Securities prices and interest rates"
"TIIE de Fondeo a un día"

"Date: 04/25/2026 08:04:31"

""

"Title","Overnight TIIE Funding Rate, Volume-weighted median.","",""
"Available period","01/02/2006 - 04/24/2026","01/02/2006 - 04/24/2026","01/02/2006 - 04/24/2026"
"Frequency","Daily","Daily","Daily"
"Data type","Average Rate","Average Rate","Average Rate"
"Unit","Percentages","Percentages","Percentages"
"Base","","",""
"Announcement","","",""
"Information type","Levels","Levels","Levels"
"Date","SF331451","SF331452","SF331453"
01/02/2006,8.27,8.25,8.28
01/03/2006,8.28,8.27,8.28
01/04/2006,8.28,8.27,8.28
01/05/2006,8.28,8.25,8.29
01/06/2006,8.28,8.27,8.29
01/09/2006,8.28,8.27,8.28
01/10/2006,8.28,8.25,8.28
01/11/2006,8.28,8.27,8.28
01/12/2006,8.28,8.27,8.29
01/13/2006,8.28,8.26,8.29
01/16/2006,8.28,8.25,8.29
01/17/2006,8.27,8.25,8.28
01/18/2006,8.27,8.25,8.28
01/19/2006,8.27,8.25,8.28
01/20/2006,8.27,8.25,8.28
01/23/2006,8.27,8.25,8.28
01/24/2006,8.27,8.26,8.28
01/25/2006,8.28,8.27,8.28
01/26/2006,8.28,8.27,8.29
01/27/2006,7.78,7.76,7.79
01/30/2006,7.78,7.77,7.79
01/31/2006,7.80,7.78,7.80
02/01/2006,7.78,7.76,7.78
02/02/2006,7.78,7.75,7.78
02/03/2006,7.78,7.76,7.78
02/07/2006,7.78,7.75,7.78
02/08/2006,7.77,7.75,7.78
02/09/2006,7.77,7.76,7.78
02/10/2006,7.77,7.75,7.78
02/13/2006,7.77,7.77,7.78
02/14/2006,7.78,7.76,7.78
02/15/2006,7.78,7.77,7.78
02/16/2006,7.78,7.77,7.78
02/17/2006,7.78,7.77,7.79
02/20/2006,7.78,7.77,7.78
02/21/2006,7.78,7.76,7.80
02/22/2006,7.79,7.78,7.80
02/23/2006,7.82,7.78,7.83
02/24/2006,7.55,7.53,7.55
02/27/2006,7.53,7.52,7.54
02/28/2006,7.56,7.53,7.61
03/01/2006,7.54,7.53,7.55
03/02/2006,7.54,7.52,7.55
03/03/2006,7.54,7.50,7.55
03/06/2006,7.52,7.52,7.53
03/07/2006,7.52,7.52,7.53
03/08/2006,7.54,7.53,7.55
03/09/2006,7.54,7.53,7.55
03/10/2006,7.53,7.50,7.54
03/13/2006,7.53,7.51,7.54
03/14/2006,7.52,7.51,7.53
