Date,POLSTR,POLSTR_1M,POLSTR_3M,POLSTR_6M,POLSTR_CI
2021-01-04,-0.003,100.0,,,
2021-01-05,-0.033,99.99999178,,,
2021-01-07,-0.017,99.99981096,,,
2021-01-08,0.005,99.99976438,,,
2021-01-11,-0.057,99.99980548,,,
2021-01-12,-0.004,99.99964932,,,
2021-01-13,-0.011,99.99963836,,,
2021-01-14,0.002,99.99960822,,,
2021-01-15,0.008,99.9996137,,,
2021-01-18,0.004,99.99967945,,,
2021-01-19,-0.026,99.99969041,,,
2021-01-20,0.01,99.99961918,,,
2021-01-21,0.012,99.99964658,,,
2021-01-22,0.01,99.99967945,,,
2021-01-25,0.011,99.99976164,,,
2021-01-26,0.015,99.99979178,,,
2021-01-27,0.02,99.99983288,,,
2021-01-28,0.019,99.99988767,,,
2021-01-29,-0.007,99.99993973,,,
2021-02-01,0.008,-0.00154,99.99988219,,
2021-02-02,0.007,-0.00121,99.99990411,,
2021-02-03,0.011,-0.00093,99.99992329,,
2021-02-04,0.004,-0.00055,99.99995342,,
2021-02-05,0.019,-0.00032,99.99996438,,
2021-02-08,0.007,0.00419,100.00012055,,
2021-02-09,0.013,0.00428,100.00013973,,
2021-02-10,0.01,0.00455,100.00017534,,
2021-02-11,0.01,0.00468,100.00020274,,
2021-02-12,0.01,0.00684,100.00023014,,
2021-02-15,0.014,0.00823,100.00031233,,
2021-02-16,0.013,0.00841,100.00035068,,
2021-02-17,0.012,0.00855,100.0003863,,
2021-02-18,0.014,0.00871,100.00041918,,
2021-02-19,0.01,0.00903,100.00045753,,
2021-02-22,0.007,0.01013,100.00053973,,
2021-02-23,0.01,0.01003,100.0005589,,
2021-02-24,-0.002,0.01003,100.0005863,,
2021-02-25,0.008,0.00965,100.00058082,,
2021-02-26,0.001,0.00955,100.00060274,,
2021-03-01,0.008,0.0095,100.00061096,,
2021-03-02,0.006,0.0095,100.00063288,,
2021-03-03,0.01,0.00946,100.00064932,,
2021-03-04,0.009,0.00943,100.00067671,,
2021-03-05,0.013,0.00961,100.00070137,,
2021-03-08,0.013,0.00896,100.00080822,,
2021-03-09,0.011,0.00918,100.00084384,,
2021-03-10,0.013,0.00911,100.00087398,,
2021-03-11,0.012,0.00921,100.00090959,,
2021-03-12,0.014,0.00929,100.00094247,,
2021-03-15,0.02,0.00971,100.00105754,,
2021-03-16,0.018,0.00993,100.00111233,,
2021-03-17,0.019,0.01011,100.00116165,,
