Selections
Start Date: 2022-04-28
End Date: 2026-05-28
Selected benchmarks: Compounded ZARONIA
Report Data: Rates
Date,1-week average,1-month average,3-month average,6-month average,9-month average,12-month average,Index
2026-05-27,6.62194,6.62894,6.65954,6.71243,6.85229,7.00839,130.537554054171
2026-05-26,6.62137,6.62824,6.65942,6.71238,6.85322,7.01057,130.513907794658
2026-05-25,6.62037,6.62746,6.65931,6.71236,6.85413,7.01746,130.490258669696
2026-05-22,6.61522,6.62519,6.65947,6.71283,6.85697,7.01921,130.419242712192
2026-05-21,6.61379,6.62482,6.65876,6.71215,6.85789,7.02137,130.395610740546
2026-05-20,6.61251,6.62435,6.65806,6.71350,6.85881,7.02354,130.371986622203
2026-05-19,6.61165,6.62491,6.65798,6.71489,6.85975,7.02572,130.348384636613
2026-05-18,6.61079,6.62425,6.65791,6.71626,6.86069,7.03247,130.324790493720
2026-05-15,6.60607,6.62258,6.65867,6.72242,6.86349,7.03440,130.253992987778
2026-05-14,6.60564,6.62234,6.65806,6.72185,6.86444,7.03658,130.230426632493
2026-05-13,6.60493,6.62204,6.65745,6.72323,6.86538,7.03876,130.206864540978
2026-05-12,6.60436,6.62378,6.65745,6.72463,6.86634,7.04095,130.183313844504
2026-05-11,6.60436,6.62328,6.65747,6.72600,6.86730,7.04764,130.159770973053
2026-05-08,6.61216,6.62298,6.65885,6.73205,6.87021,7.04974,130.089180663129
2026-05-07,6.61242,6.62288,6.65828,6.73156,6.87117,7.05195,130.065654815099
2026-05-06,6.61342,6.62678,6.65773,6.73297,6.87215,7.05415,130.042140345886
2026-05-05,6.61414,6.62643,6.65772,6.73440,6.87313,7.05637,130.018633689346
2026-05-04,6.61745,6.62599,6.65762,6.73583,6.87410,7.06314,129.995120599313
2026-04-30,6.61328,6.62342,6.65771,6.74122,6.87906,7.06743,129.900922856130
2026-04-29,6.61285,6.62596,6.65763,6.74453,6.88316,7.06966,129.877413265187
2026-04-28,6.61285,6.62545,6.65762,6.74597,6.88510,7.07869,129.853918600024
2026-04-24,6.60622,6.62459,6.65758,6.75168,6.89267,7.08089,129.759865805237
2026-04-23,6.60479,6.62472,6.65692,6.75308,6.89458,7.08311,129.736378189153
2026-04-22,6.60407,6.62665,6.65690,6.75450,6.89650,7.08532,129.712909037063
2026-04-21,6.60321,6.62616,6.65688,6.75592,6.89841,7.09613,129.689444130514
2026-04-20,6.60264,6.62580,6.65687,6.75737,6.90448,7.09620,129.665997676139
2026-04-17,6.60650,6.62595,6.65765,6.76185,6.90612,7.09641,129.595675157176
2026-04-16,6.60722,6.62602,6.65710,6.76329,6.90807,7.09864,129.572252753788
2026-04-15,6.60779,6.62738,6.65712,6.76471,6.90999,7.10087,129.548831034993
2026-04-14,6.60793,6.62710,6.65706,6.76614,6.91191,7.10310,129.525417097952
2026-04-13,6.61575,6.62691,6.65705,6.76756,6.91789,7.10963,129.502014487334
